ORIGEN,VARIABLE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
CÓRDOBA OBSERVATORIO,TEMP.MAX,30.9,29.6,28.1,24.8,21.3,18.7,18.3,21.1,23.2,26.6,28.7,30.3
CÓRDOBA OBSERVATORIO,TEMP.MIN,18.5,17.5,16.4,12.8,9.4,6.3,5.5,7.3,9.5,13.3,15.6,17.9
CÓRDOBA OBSERVATORIO,PRECIPITACIONES,126.3,97.0,112.1,61.3,18.8,4.5,13.3,8.9,35.2,69.8,112.2,154.6
PILAR OBS.,TEMP.MAX,29.9,28.6,27.0,23.7,20.2,17.4,17.0,19.8,22.0,25.3,27.7,29.4
PILAR OBS.,TEMP.MIN,17.9,16.9,15.7,12.1,8.6,5.5,4.4,5.8,8.2,12.2,14.8,17.1
PILAR OBS.,PRECIPITACIONES,132.2,106.1,109.6,63.4,23.9,4.9,13.8,9.6,33.1,66.6,103.2,130.1
SAUCE VIEJO AERO,TEMP.MAX,31.8,30.1,28.5,24.3,21.0,17.6,17.3,19.9,21.9,25.4,27.9,30.2
SAUCE VIEJO AERO,TEMP.MIN,20.1,19.2,18.0,14.1,10.9,7.9,6.9,8.5,10.5,14.1,16.7,18.9
SAUCE VIEJO AERO,PRECIPITACIONES,95.4,112.0,146.4,116.2,49.4,31.5,23.9,28.4,53.2,110.5,128.9,124.9
PARANÁ AERO,TEMP.MAX,31.2,29.6,27.9,23.5,20.2,16.9,16.6,19.3,21.1,24.5,27.2,29.6
PARANÁ AERO,TEMP.MIN,19.3,18.5,17.1,13.6,10.6,8.0,7.1,8.4,9.9,13.1,15.6,17.8
PARANÁ AERO,PRECIPITACIONES,115.2,134.8,155.0,132.7,58.3,38.2,32.4,32.4,61.2,127.6,118.7,141.2
MONTE CASEROS AERO,TEMP.MAX,32.6,31.0,29.6,25.3,21.7,18.9,18.8,21.3,22.4,25.8,28.4,31.2
MONTE CASEROS AERO,TEMP.MIN,20.6,19.9,18.5,15.2,11.7,9.5,8.8,10.0,11.5,14.6,16.8,19.0
MONTE CASEROS AERO,PRECIPITACIONES,154.1,144.7,154.3,189.7,110.9,88.4,64.1,57.5,107.3,146.5,154.0,134.1
CONCORDIA AERO,TEMP.MAX,32.2,30.4,28.8,24.5,20.8,17.9,17.8,20.2,21.8,25.1,27.7,30.6
CONCORDIA AERO,TEMP.MIN,19.4,18.8,17.3,13.8,10.5,8.2,7.4,8.6,10.1,13.2,15.4,17.7
CONCORDIA AERO,PRECIPITACIONES,133.9,145.7,156.5,163.4,99.7,82.4,52.2,58.7,85.6,136.9,140.8,121.0
SAN MARTÍN (MZA),TEMP.MAX,32.4,31.1,28.1,23.5,19.1,15.7,15.4,18.6,21.5,26.0,29.2,31.7
SAN MARTÍN (MZA),TEMP.MIN,17.8,16.5,14.8,10.1,6.1,2.7,1.9,4.0,6.8,11.0,14.0,16.8
SAN MARTÍN (MZA),PRECIPITACIONES,45.0,36.3,43.0,15.8,9.2,3.7,6.8,6.4,12.4,12.7,20.1,28.4
MENDOZA AERO,TEMP.MAX,32.3,30.9,27.9,23.2,18.7,15.7,15.0,18.3,21.1,25.9,29.2,31.8
MENDOZA AERO,TEMP.MIN,18.7,17.4,15.5,10.4,6.2,2.9,2.1,4.2,7.2,11.7,15.1,17.9
MENDOZA AERO,PRECIPITACIONES,50.5,33.7,34.9,16.5,10.5,6.3,8.0,8.0,15.1,10.4,16.4,24.3
MENDOZA OBSERVATORIO,TEMP.MAX,30.4,29.1,26.5,22.0,17.9,15.0,14.5,17.3,19.9,24.2,27.3,29.8
